Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
82,Italy,Europe,ITA,8,14,4,9,51,72,69,227,2,0,23,55,149,157,226,1338,1950,6,2,1,0,1,1,5,8,91,6,113,13,5,0,0,0,2,6,4,27,0,39
83,Jersey,Europe,JEY,0,0,0,0,5,0,1,6,0,0,1,0,5,2,11,158,177,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,?
84,Latvia,Europe,LVA,1,9,0,0,6,4,8,28,0,0,2,4,22,40,15,508,591,0,0,0,0,0,1,0,4,58,0,63,0,0,0,0,0,0,0,0,12,0,12
85,Liechtenstein,Europe,LIE,0,2,0,0,0,2,2,6,0,0,0,1,5,23,6,350,385,0,0,0,0,0,0,0,4,50,0,54,0,0,0,0,0,0,0,0,10,0,10
86,Lithuania,Europe,LTU,2,9,0,0,6,2,5,24,0,0,2,2,20,35,14,489,562,0,0,0,0,1,1,1,4,58,0,65,0,0,0,0,0,0,0,0,11,0,11
87,Luxembourg,Europe,LUX,0,3,0,0,1,5,2,11,0,0,2,3,6,24,12,396,443,0,0,0,0,0,0,0,4,49,0,53,0,0,0,0,0,0,0,0,14,0,14
88,"Macedonia, the former Yugoslav Republic of",Europe,MKD,6,14,2,0,13,61,9,105,2,0,17,29,59,48,42,619,816,0,0,0,0,0,0,5,6,64,2,77,0,0,0,0,0,0,0,0,14,0,14
89,Malta,Europe,MLT,2,5,1,0,22,3,2,35,0,0,3,8,24,25,40,540,640,0,0,0,0,1,1,1,2,19,2,26,0,0,0,0,0,0,0,0,2,0,2
90,Monaco,Europe,MCO,3,0,0,0,15,0,3,21,0,0,1,6,14,9,23,368,421,0,0,0,0,0,1,1,5,27,1,35,0,0,0,0,0,0,0,0,2,0,2
91,Montenegro,Europe,MNE,6,14,4,1,32,20,15,92,1,0,13,28,51,64,73,839,1069,0,0,0,0,1,1,4,6,74,2,88,0,0,0,0,0,1,0,1,19,0,21
92,Netherlands,Europe,NLD,3,8,0,0,15,5,5,36,1,0,5,4,27,49,38,687,811,0,0,0,0,0,3,1,5,63,6,78,0,0,0,0,0,0,0,0,15,0,15
93,Norway,Europe,NOR,8,7,0,0,23,3,7,48,0,0,4,9,35,46,32,601,727,0,0,0,0,0,4,3,2,60,6,75,0,0,0,0,0,0,0,0,6,0,6
94,Poland,Europe,POL,5,11,0,0,8,7,15,46,1,0,3,10,33,57,32,657,793,1,0,1,0,2,1,2,8,76,0,90,0,0,0,0,0,0,0,0,16,0,16
95,Portugal,Europe,PRT,13,12,4,1,63,76,21,190,2,0,35,46,109,89,235,1416,1932,1,1,0,0,1,6,4,9,58,12,90,0,0,0,0,0,0,1,5,13,0,19
96,Romania,Europe,ROU,8,18,2,0,22,11,27,88,2,0,12,15,61,67,67,771,995,0,0,0,0,1,1,5,11,76,1,95,0,0,0,0,0,0,0,1,18,0,19
97,SanMarino,Europe,SMR,0,0,0,0,0,0,1,1,0,0,0,0,1,5,2,57,65,0,0,0,0,0,0,0,5,22,0,27,0,0,0,0,0,0,0,0,4,0,4
98,Serbia,Europe,SRB,6,13,1,0,15,5,19,59,0,0,8,8,43,57,23,710,849,0,0,0,0,0,1,5,7,76,3,92,0,0,0,0,0,1,0,1,19,0,21
99,Slovakia,Europe,SVK,4,11,0,0,5,6,16,42,0,0,3,7,32,57,42,618,759,0,0,0,0,0,1,2,9,72,1,85,0,0,0,0,0,0,0,1,18,0,19
100,Slovenia,Europe,SVN,6,8,2,2,33,32,45,128,0,0,5,26,97,52,79,921,1180,0,0,0,0,1,0,3,8,74,0,86,0,0,0,0,0,0,2,0,18,0,20
101,Spain,Europe,ESP,17,15,20,6,78,141,95,372,2,0,56,109,207,217,454,1852,2897,4,4,0,0,2,8,6,10,77,12,115,4,3,0,0,1,1,4,8,20,0,34
102,Svalbard and Jan Mayen,Europe,SJM,3,2,0,0,2,0,0,7,0,0,0,1,6,9,4,71,91,0,0,0,0,0,0,1,2,9,3,15,0,0,0,0,0,0,0,0,0,0,?
103,Sweden,Europe,SWE,1,8,0,0,15,4,11,39,0,0,3,7,29,52,34,624,749,0,0,0,0,0,1,0,5,63,3,72,0,0,0,0,0,0,0,0,12,0,12
104,Switzerland,Europe,CHE,3,6,0,1,9,10,33,62,6,0,3,13,46,70,58,667,863,0,0,0,0,0,1,1,8,72,2,84,0,0,0,0,0,0,1,0,20,0,21
105,United Kingdom,Europe,GBR,5,8,1,0,47,5,13,79,2,0,10,18,51,59,78,890,1108,0,0,0,0,0,4,1,3,57,9,74,0,0,0,0,0,0,0,0,8,0,8
106,N/A,North Africa,N/A,86,62,46,6,247,51,130,628,16,4,67,175,386,385,699,5905,7637,16,2,0,6,15,25,46,34,393,55,574,4,2,0,0,0,2,4,5,38,0,49
107,Algeria,North Africa,DZA,14,14,8,3,40,10,26,115,2,1,15,36,64,55,123,889,1185,2,0,0,1,2,4,8,8,76,6,105,1,1,0,0,0,1,2,1,8,0,12
108,Egypt,North Africa,EGY,19,14,12,0,51,0,56,152,1,1,5,27,120,142,143,1354,1793,5,0,0,1,2,3,12,4,73,10,105,1,0,0,0,0,0,0,0,9,0,9
109,Libya,North Africa,LBY,11,6,6,0,32,0,4,59,0,1,5,17,37,29,63,662,814,3,0,0,1,3,2,7,4,61,8,86,0,0,0,0,0,0,0,0,4,0,4
110,Morocco,North Africa,MAR,18,15,13,2,54,35,29,166,2,0,27,56,83,81,170,1340,1759,5,2,0,1,3,7,8,10,89,15,133,2,1,0,0,0,1,1,3,7,0,12
111,Tunisia,North Africa,TUN,14,10,6,1,39,6,12,88,11,0,11,26,51,45,91,817,1052,1,0,0,1,3,4,7,6,58,4,83,0,0,0,0,0,0,1,0,6,0,7
