Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,Total
Kazakhstan,West & Central Asia,KAZ,16,26,1,1,14,2,5,65
Kuwait,West & Central Asia,KWT,6,11,4,0,15,0,13,49
Kyrgyzstan,West & Central Asia,KGZ,5,16,2,0,3,0,4,30
Lebanon,West & Central Asia,LBN,10,12,8,0,28,9,8,75
Oman,West & Central Asia,OMN,10,13,8,0,31,2,29,93
Pakistan,West & Central Asia,PAK,25,32,12,0,41,0,18,128
"Palestinian Territory, Occupied ",West & Central Asia,PSE,3,13,4,1,2,2,2,27
Qatar,West & Central Asia,QAT,2,8,3,0,13,0,13,39
Saudi Arabia,West & Central Asia,SAU,10,18,3,0,35,1,58,125
Syrian Arab Republic,West & Central Asia,SYR,16,18,9,0,51,9,11,114
Tajikistan,West & Central Asia,TJK,7,15,2,0,5,0,3,32
Turkey,West & Central Asia,TUR,18,20,20,11,131,45,35,280
Turkmenistan,West & Central Asia,TKM,10,20,2,0,11,1,6,50
United Arab Emirates,West & Central Asia,ARE,8,12,4,0,17,0,15,56
Uzbekistan,West & Central Asia,UZB,10,20,2,0,7,1,2,42
Yemen,West & Central Asia,YEM,9,18,7,1,32,2,66,135
China,East Asia,CHN,74,89,43,88,133,15,61,503
Hong Kong,East Asia,HKG,3,20,5,5,13,1,7,54
Japan,East Asia,JPN,28,42,14,20,77,33,138,352
"Korea,Democratic People's Republic of",East Asia,PRK,10,27,2,1,17,0,3,60
"Korea,Republic of",East Asia,KOR,11,30,3,3,25,0,5,77
Macao,East Asia,MAC,0,4,1,0,5,0,1,11
Mongolia,East Asia,MNG,11,24,0,0,2,0,3,40
"Taiwan,Province of China",East Asia,TWN,10,24,9,10,70,1,127,251
Bangladesh,South & Southeast Asia,BGD,36,33,23,1,27,0,7,127
Bhutan,South & Southeast Asia,BTN,26,20,3,1,3,0,1,54
British Indian Ocean Territory,South & Southeast Asia,IOT,0,0,2,0,12,0,69,83
Brunei Darussalam,South & Southeast Asia,BRN,33,24,8,3,12,0,8,88
Cambodia,South & Southeast Asia,KHM,38,27,20,5,47,1,78,216
Disputed Territory,South & Southeast Asia,DT,0,0,0,0,3,0,1,4
India,South & Southeast Asia,IND,92,84,54,75,222,7,128,662
Indonesia,South & Southeast Asia,IDN,188,131,33,32,158,6,284,832
Lao People's Democratic Republic,South & Southeast Asia,LAO,45,24,18,9,55,16,5,172
Malaysia,South & Southeast Asia,MYS,73,50,31,48,83,35,227,547
Maldives,South & Southeast Asia,MDV,2,0,3,0,24,0,46,75
Myanmar,South & Southeast Asia,MMR,48,48,30,2,50,3,74,255
Nepal,South & Southeast Asia,NPL,30,36,9,3,7,1,2,88
Philippines,South & Southeast Asia,PHL,39,89,39,48,87,3,234,539
Singapore,South & Southeast Asia,SGP,13,17,6,0,27,0,173,236
Sri Lanka,South & Southeast Asia,LKA,29,16,12,56,54,0,130,297
Thailand,South & Southeast Asia,THA,56,51,28,4,106,15,196,456
Timor-Leste,South & Southeast Asia,TLS,5,6,2,0,8,0,1,22
Viet Nam,South & Southeast Asia,VNM,55,46,49,31,80,30,122,413
N/A,Oceania,,0,0,0,0,0,0,0,0
American Samoa,Oceania,ASM,1,8,6,0,12,5,59,91
Australia,Oceania,AUS,63,50,43,47,118,174,340,835
Christmas Island,Oceania,CXR,3,3,4,0,10,0,18,38
Cocos (Keeling) Islands,Oceania,CCK,2,0,1,0,9,0,20,32
Cook Islands,Oceania,COK,1,15,3,0,12,0,32,63
Fiji,Oceania,FJI,6,12,15,1,18,68,97,217
French Polynesia,Oceania,PYF,0,32,3,0,28,34,31,128
Guam,Oceania,GUM,2,14,5,0,13,6,54,94
Kiribati,Oceania,KIR,1,5,2,0,13,1,80,102
Marshall Islands,Oceania,MHL,2,3,4,0,16,1,72,98
"Micronesia, Federated States of",Oceania,FSM,5,11,7,0,25,4,111,163
Nauru,Oceania,NRU,1,2,0,0,11,0,68,82
New Caledonia,Oceania,NCL,9,16,54,0,35,28,97,239
New Zealand,Oceania,NZL,9,67,15,3,34,32,14,174
Niue,Oceania,NIU,1,8,4,0,9,0,30,52
Norfolk Island,Oceania,NFK,0,10,2,0,6,12,11,41
Northern Mariana Islands,Oceania,MNP,4,16,4,0,15,4,53,96
Palau,Oceania,PLW,4,5,3,0,19,40,106,177
Papua New Guinea,Oceania,PNG,39,37,11,11,56,2,179,335
Pitcairn,Oceania,PCN,1,10,0,0,10,5,11,37
Samoa,Oceania,WSM,2,6,5,0,16,1,61,91
Solomon Islands,Oceania,SLB,20,25,6,2,22,2,149,226
Tokelau,Oceania,TKL,0,1,3,0,10,0,35,49
Tonga,Oceania,TON,2,5,5,0,14,4,43,73
Tuvalu,Oceania,TUV,1,1,3,0,12,1,77,95
United States Minor Outlying Islands,Oceania,UMI,0,10,2,0,13,0,47,72
Vanuatu,Oceania,VUT,7,9,4,0,17,4,88,129
Wallis and Futuna,Oceania,WLF,0,9,2,0,13,1,64,89
