Country,Region,CC,SP,ED,TH_ED,EX,EW,CR,EN,VU,NT,LC,DD,
Moldova,North Asia,MDA,69,0,0,0,0,1,1,2,8,56,1,
Russian Federation,North Asia,RUS,300,21,1,2,0,3,16,14,23,225,17,
Ukraine,North Asia,UKR,112,2,2,0,0,3,3,5,10,90,1,
N/A,West & Central Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,West & Central Asia,AFG,121,0,0,0,0,0,5,6,6,101,3,
Armenia,West & Central Asia,ARM,90,2,2,0,0,1,3,5,10,67,4,
Azerbaijan,West & Central Asia,AZE,103,0,0,0,0,0,2,5,13,79,4,
Bahrain,West & Central Asia,BHR,12,0,0,0,0,0,0,3,1,7,1,
Cyprus,West & Central Asia,CYP,31,1,0,0,0,1,1,3,1,25,0,
Georgia,West & Central Asia,GEO,102,0,0,0,0,1,4,5,12,79,1,
Iran,West & Central Asia,IRN,186,6,0,0,0,0,5,11,14,134,22,
Iraq,West & Central Asia,IRQ,79,1,1,1,0,0,5,8,5,59,1,
Israel,West & Central Asia,ISR,108,1,0,0,0,1,4,10,7,81,5,
Jordan,West & Central Asia,JOR,81,0,0,0,0,0,3,10,7,58,3,
Kazakhstan,West & Central Asia,KAZ,155,5,0,0,0,3,6,7,10,123,6,
Kuwait,West & Central Asia,KWT,34,0,0,1,0,0,2,4,5,18,4,
Kyrgyzstan,West & Central Asia,KGZ,71,1,0,0,0,0,4,2,5,58,2,
Lebanon,West & Central Asia,LBN,67,0,0,0,0,1,3,6,5,51,1,
Oman,West & Central Asia,OMN,76,1,0,0,0,0,3,6,4,50,13,
Pakistan,West & Central Asia,PAK,191,3,1,0,0,0,9,14,11,141,16,
"Palestinian Territory, Occupied",West & Central Asia,PSE,28,0,0,0,0,0,1,2,2,21,2,
Qatar,West & Central Asia,QAT,16,0,0,0,0,0,0,2,2,9,3,
Saudi Arabia,West & Central Asia,SAU,84,1,0,1,0,0,2,7,6,61,7,
Syria,West & Central Asia,SYR,94,1,0,0,0,1,4,11,6,69,3,
Tajikistan,West & Central Asia,TJK,68,0,0,0,0,0,5,3,7,52,1,
Turkey,West & Central Asia,TUR,149,6,0,0,0,1,5,11,11,114,7,
Turkmenistan,West & Central Asia,TKM,88,0,0,0,0,0,3,5,6,71,3,
United Arab Emirates,West & Central Asia,ARE,46,0,0,0,0,0,2,5,4,27,8,
Uzbekistan,West & Central Asia,UZB,83,0,0,0,0,0,4,6,7,64,2,
Yemen,West & Central Asia,YEM,90,2,0,2,0,0,2,7,6,61,12,
N/A,East Asia,,1,0,0,0,0,0,0,0,0,0,0,0
China*,East Asia,CHN,551,87,17,0,1,11,29,34,32,392,52,
Japan,East Asia,JPN,144,43,16,1,0,4,17,6,6,88,22,
"Korea, D.P.R.",East Asia,PRK,83,0,0,1,0,0,3,6,4,60,9,
"Korea, Republic",East Asia,KOR,72,0,0,1,0,0,2,7,2,51,9,
Mongolia,East Asia,MNG,136,1,0,0,0,3,5,3,6,117,2,
"Taiwan, Province of China ",East Asia,TWN,92,15,0,0,0,0,3,7,8,56,18,
N/A,South & Southeast Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,South & Southeast Asia,BGD,139,0,0,0,0,3,13,17,9,88,9,
Bhutan,South & Southeast Asia,BTN,99,0,0,0,0,1,12,15,12,56,3,
British Indian Ocean Territory,South & Southeast Asia,IOT,6,0,0,0,0,0,0,0,0,3,3,
Brunei Darussalam,South & Southeast Asia,BRN,138,0,0,0,0,2,7,26,11,75,17,
Cambodia,South & Southeast Asia,KHM,164,1,0,0,0,3,16,18,8,108,11,
India,South & Southeast Asia,IND,412,47,31,0,0,10,39,47,26,258,32,
Indonesia,South & Southeast Asia,IDN,670,260,115,1,0,21,65,97,44,316,126,
Lao P.D.R.,South & Southeast Asia,LAO,215,7,3,0,0,6,19,21,9,145,15,
Malaysia,South & Southeast Asia,MYS,336,28,6,0,0,3,21,46,29,187,50,
Maldives,South & Southeast Asia,MDV,24,0,0,0,0,0,1,1,0,12,10,
Myanmar,South & Southeast Asia,MMR,294,5,0,0,0,2,18,25,16,206,27,
Nepal,South & Southeast Asia,NPL,182,2,1,0,0,1,15,16,14,128,8,
Philippines,South & Southeast Asia,PHL,207,113,27,0,0,4,13,22,19,104,45,
Singapore,South & Southeast Asia,SGP,68,1,0,0,0,0,2,10,8,38,10,
Sri Lanka,South & Southeast Asia,LKA,117,17,15,0,0,0,16,14,7,66,14,
Thailand ,South & Southeast Asia,THA,311,5,1,1,0,3,24,30,26,197,30,
Timor-Leste,South & Southeast Asia,TLS,54,1,0,0,0,0,1,3,2,31,17,
Viet Nam,South & Southeast Asia,VNM,287,11,3,0,0,11,20,23,12,192,29,
N/A,Oceania,,1,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Oceania,ASM,20,0,0,0,0,0,1,0,1,10,8,
Australia,Oceania,AUS,349,247,50,21,0,11,20,26,32,203,36,
Christmas Island,Oceania,CXR,2,1,1,0,0,1,0,0,0,1,0,
Cocos (Keeling) Islands,Oceania,CCK,19,0,0,0,0,0,1,1,0,9,8,
Cook Islands,Oceania,COK,20,0,0,0,0,0,1,0,0,10,9,
Fiji,Oceania,FJI,27,1,1,0,0,1,3,2,1,10,10,
French Polynesia,Oceania,PYF,19,0,0,0,0,0,1,0,0,9,9,
Guam,Oceania,GUM,22,1,0,1,0,0,2,0,0,9,10,
Kiribati,Oceania,KIR,20,0,0,0,0,0,0,1,0,9,10,
Marshall Islands,Oceania,MHL,21,0,0,0,0,0,1,1,0,9,10,
Micronesia,Oceania,FSM,24,4,3,0,0,0,2,4,0,7,11,
Nauru,Oceania,NRU,17,0,0,0,0,0,0,1,0,7,9,
Netherlands Antilles,Oceania,NCL,36,1,0,0,0,0,0,4,0,20,12,
New Caledonia,Oceania,NCL,33,6,6,0,0,1,4,4,0,12,12,
New Zealand,Oceania,NZL,44,4,4,0,0,0,4,4,0,14,22,
Niue,Oceania,NIU,20,0,0,0,0,0,1,1,0,9,9,
Northern Mariana Islands,Oceania,MNP,25,0,0,0,0,0,5,0,0,9,11,
Palau,Oceania,PLW,25,2,0,1,0,0,2,2,1,9,10,
Papua New Guinea,Oceania,PNG,269,73,24,0,0,11,18,12,12,170,46,
Pitcairn,Oceania,PCN,20,0,0,0,0,0,2,0,0,9,9,
Samoa,Oceania,WSM,22,0,0,0,0,0,1,1,1,10,9,
Solomon Islands,Oceania,SLB,69,16,10,0,0,3,8,6,1,32,19,
Tokelau,Oceania,TKL,4,0,0,0,0,0,0,0,0,0,4,
Tonga,Oceania,TON,22,0,0,0,0,0,1,1,0,10,10,
Tuvalu,Oceania,TUV,6,0,0,0,0,0,1,1,0,1,3,
United States Minor Outlying Islands,Oceania,UMI,7,0,0,0,0,0,0,0,0,3,4,
Vanuatu,Oceania,VUT,24,2,2,0,0,0,4,4,0,9,7,
Wallis and Futuna,Oceania,WLF,19,0,0,0,0,0,0,0,0,10,9,
